"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2766","Verify that products are sorted by name descending","","Wed Apr 15 07:15:52 UTC 2026","passed","Wed Apr 15 07:15:55 UTC 2026","","Goods cases functionality","",""
"","2927","Verify that user can add multiple products to cart and remove one","chromium-tablet","Wed Apr 15 07:16:04 UTC 2026","passed","Wed Apr 15 07:16:07 UTC 2026","Shopping cart functionality","tests/web/shopping.test.ts","",""
"","3182","Verify that user can add multiple products to cart and remove one","webkit-tablet","Wed Apr 15 07:16:43 UTC 2026","passed","Wed Apr 15 07:16:47 UTC 2026","Shopping cart functionality","tests/web/shopping.test.ts","",""
"","3433","Verify that user can add multiple products to cart and remove one","chromium-desktop","Wed Apr 15 07:15:58 UTC 2026","passed","Wed Apr 15 07:16:01 UTC 2026","Shopping cart functionality","tests/web/shopping.test.ts","",""
"","3008","Verify that user can successfully login and logout","webkit-tablet","Wed Apr 15 07:16:43 UTC 2026","passed","Wed Apr 15 07:16:46 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","6570","Verify that error is shown when username is invalid","","Wed Apr 15 07:15:53 UTC 2026","passed","Wed Apr 15 07:16:00 UTC 2026","","Login negative cases functionality","",""
"","3916","Verify that user can add multiple products to cart and remove one","webkit-mobile","Wed Apr 15 07:16:38 UTC 2026","passed","Wed Apr 15 07:16:42 UTC 2026","Shopping cart functionality","tests/web/shopping.test.ts","",""
"","8871","Verify that user can login with valid credentials","","Wed Apr 15 07:15:27 UTC 2026","passed","Wed Apr 15 07:15:36 UTC 2026","","Login functionality","",""
"","12265","Verify that complete checkout process works with generated user data","webkit-desktop","Wed Apr 15 07:16:24 UTC 2026","passed","Wed Apr 15 07:16:36 UTC 2026","Checkout functionality","tests/web/checkout.test.ts","",""
"","2860","Verify that user can successfully login and logout","chromium-desktop","Wed Apr 15 07:15:58 UTC 2026","passed","Wed Apr 15 07:16:01 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","5531","Verify that user can successfully login and logout","webkit-desktop","Wed Apr 15 07:16:29 UTC 2026","passed","Wed Apr 15 07:16:35 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","5236","Verify that user can add multiple products to cart and remove one","firefox-mobile","Wed Apr 15 07:16:18 UTC 2026","passed","Wed Apr 15 07:16:23 UTC 2026","Shopping cart functionality","tests/web/shopping.test.ts","",""
"","3771","Verify that complete checkout process works with generated user data","chromium-desktop","Wed Apr 15 07:15:58 UTC 2026","passed","Wed Apr 15 07:16:02 UTC 2026","Checkout functionality","tests/web/checkout.test.ts","",""
"","5193","Verify that complete checkout process works with generated user data","webkit-mobile","Wed Apr 15 07:16:35 UTC 2026","passed","Wed Apr 15 07:16:40 UTC 2026","Checkout functionality","tests/web/checkout.test.ts","",""
"","3517","Verify that products are sorted by name ascending","","Wed Apr 15 07:15:49 UTC 2026","passed","Wed Apr 15 07:15:52 UTC 2026","","Goods cases functionality","",""
"","6205","Verify that error is shown when both are empty","","Wed Apr 15 07:15:47 UTC 2026","passed","Wed Apr 15 07:15:53 UTC 2026","","Login negative cases functionality","",""
"","7300","Verify that user can successfully login and logout","firefox-desktop","Wed Apr 15 07:16:09 UTC 2026","passed","Wed Apr 15 07:16:16 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","5987","Verify that complete checkout process works with generated user data","firefox-desktop","Wed Apr 15 07:16:05 UTC 2026","passed","Wed Apr 15 07:16:11 UTC 2026","Checkout functionality","tests/web/checkout.test.ts","",""
"","7179","Verify that user can successfully login and logout","firefox-mobile","Wed Apr 15 07:16:10 UTC 2026","passed","Wed Apr 15 07:16:17 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","2723","Verify that user can successfully login and logout","chromium-mobile","Wed Apr 15 07:15:59 UTC 2026","passed","Wed Apr 15 07:16:01 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","203","Verify that booking can be created successfully with valid data","api","Wed Apr 15 07:14:56 UTC 2026","passed","Wed Apr 15 07:14:57 UTC 2026","Create Booking","tests/api/createBooking.test.ts","",""
