"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10068","Verify that user can add and remove product from cart","","Tue Apr 14 18:34:38 UTC 2026","broken","Tue Apr 14 18:34:48 UTC 2026","","Cart functionality","",""
"","733","authenticate","web-setup","Tue Apr 14 18:32:50 UTC 2026","passed","Tue Apr 14 18:32:51 UTC 2026","","main/web/setup/globalSetup.ts","",""
"","6879","Verify that user can add multiple products to cart and remove one","webkit-desktop","Tue Apr 14 18:33:28 UTC 2026","passed","Tue Apr 14 18:33:34 UTC 2026","Shopping cart functionality","tests/web/shopping.test.ts","",""
"","10026","Verify that products are sorted by price descending","","Tue Apr 14 18:38:31 UTC 2026","broken","Tue Apr 14 18:38:41 UTC 2026","","Goods cases functionality","",""
"","3218","Verify that complete checkout process works with generated user data","chromium-tablet","Tue Apr 14 18:32:58 UTC 2026","passed","Tue Apr 14 18:33:01 UTC 2026","Checkout functionality","tests/web/checkout.test.ts","",""
"","402","Verify that booking can be created successfully with valid data","api","Tue Apr 14 18:31:59 UTC 2026","passed","Tue Apr 14 18:31:59 UTC 2026","Create Booking","tests/api/createBooking.test.ts","",""
"","419","Verify that booking can be retrieved successfully by ID","api","Tue Apr 14 18:31:59 UTC 2026","passed","Tue Apr 14 18:31:59 UTC 2026","Get Booking","tests/api/getBooking.test.ts","",""
"","5740","Verify that user can add multiple products to cart and remove one","firefox-tablet","Tue Apr 14 18:33:18 UTC 2026","passed","Tue Apr 14 18:33:24 UTC 2026","Shopping cart functionality","tests/web/shopping.test.ts","",""
"","5709","Verify that user can successfully login and logout","webkit-desktop","Tue Apr 14 18:33:23 UTC 2026","passed","Tue Apr 14 18:33:29 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","12164","Verify that complete checkout process works with generated user data","webkit-desktop","Tue Apr 14 18:33:17 UTC 2026","passed","Tue Apr 14 18:33:29 UTC 2026","Checkout functionality","tests/web/checkout.test.ts","",""
"","10025","Verify that products are sorted by price ascending","","Tue Apr 14 18:37:51 UTC 2026","broken","Tue Apr 14 18:38:01 UTC 2026","","Goods cases functionality","",""
"","4045","Verify that user can successfully login and logout","webkit-mobile","Tue Apr 14 18:33:29 UTC 2026","passed","Tue Apr 14 18:33:33 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","10032","Verify that user can login with valid credentials","","Tue Apr 14 18:35:46 UTC 2026","broken","Tue Apr 14 18:35:56 UTC 2026","","Login functionality","",""
"","3533","Verify that user can successfully login and logout","webkit-tablet","Tue Apr 14 18:33:36 UTC 2026","passed","Tue Apr 14 18:33:39 UTC 2026","Login and logout functionality","tests/web/login.test.ts","",""
"","7897","Verify that complete checkout process works with generated user data","firefox-mobile","Tue Apr 14 18:33:04 UTC 2026","passed","Tue Apr 14 18:33:12 UTC 2026","Checkout functionality","tests/web/checkout.test.ts","",""
"","2","Verify that error is shown when username is empty","","Tue Apr 14 18:35:07 UTC 2026","broken","Tue Apr 14 18:35:07 UTC 2026","","Login negative cases functionality","",""
