"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Cart functionality","0","0","","0"
"0","","0","","32","0","","0"
"4","","0","Goods cases functionality","0","0","","0"
"1","","0","Login functionality","0","0","","0"
"1","","0","Login negative cases functionality","0","0","","0"
