"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5974","Verify that error is shown when both are empty","","Tue Apr 14 14:00:52 UTC 2026","passed","Tue Apr 14 14:00:58 UTC 2026","","Login negative cases functionality","",""
"","9023","Verify that user can login with valid credentials","","Tue Apr 14 14:00:36 UTC 2026","passed","Tue Apr 14 14:00:45 UTC 2026","","Login functionality","",""
"","1928","Verify that products are sorted by price descending","","Tue Apr 14 14:00:41 UTC 2026","passed","Tue Apr 14 14:00:43 UTC 2026","","Goods cases functionality","",""
"","5906","Verify that error is shown when both credentials are invalid","","Tue Apr 14 14:01:11 UTC 2026","passed","Tue Apr 14 14:01:17 UTC 2026","","Login negative cases functionality","",""
"","1974","Verify that products are sorted by name descending","","Tue Apr 14 14:00:37 UTC 2026","passed","Tue Apr 14 14:00:39 UTC 2026","","Goods cases functionality","",""
"","5782","Verify that error is shown when password is invalid","","Tue Apr 14 14:01:05 UTC 2026","passed","Tue Apr 14 14:01:11 UTC 2026","","Login negative cases functionality","",""
"","6400","Verify that error is shown when password is empty","","Tue Apr 14 14:00:46 UTC 2026","passed","Tue Apr 14 14:00:52 UTC 2026","","Login negative cases functionality","",""
"","7212","Verify that user can add and remove product from cart","","Tue Apr 14 14:00:37 UTC 2026","passed","Tue Apr 14 14:00:44 UTC 2026","","Cart functionality","",""
"","1848","Verify that products are sorted by price ascending","","Tue Apr 14 14:00:39 UTC 2026","passed","Tue Apr 14 14:00:41 UTC 2026","","Goods cases functionality","",""
"","2234","Verify that products are sorted by name ascending","","Tue Apr 14 14:00:35 UTC 2026","passed","Tue Apr 14 14:00:37 UTC 2026","","Goods cases functionality","",""
"","6445","Verify that error is shown when username is invalid","","Tue Apr 14 14:00:58 UTC 2026","passed","Tue Apr 14 14:01:05 UTC 2026","","Login negative cases functionality","",""
"","7682","Verify that error is shown when username is empty","","Tue Apr 14 14:00:38 UTC 2026","passed","Tue Apr 14 14:00:46 UTC 2026","","Login negative cases functionality","",""
