"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","api authenticate","api-setup","Wed Apr 15 07:07:52 UTC 2026","passed","Wed Apr 15 07:07:52 UTC 2026","","main/api/setup/globalSetup.ts","",""
"","9","Verify that booking can be retrieved successfully by ID","api","Wed Apr 15 07:07:59 UTC 2026","failed","Wed Apr 15 07:07:59 UTC 2026","Get Booking","tests/api/getBooking.test.ts","",""
"","13","Verify that booking can be deleted successfully by ID","api","Wed Apr 15 07:07:59 UTC 2026","failed","Wed Apr 15 07:07:59 UTC 2026","Delete Booking","tests/api/deleteBooking.test.ts","",""
"","10","Verify that booking can be created successfully with valid data","api","Wed Apr 15 07:07:59 UTC 2026","failed","Wed Apr 15 07:07:59 UTC 2026","Create Booking","tests/api/createBooking.test.ts","",""
"","9","Verify that booking can be updated successfully with new data","api","Wed Apr 15 07:07:59 UTC 2026","failed","Wed Apr 15 07:07:59 UTC 2026","Update Booking","tests/api/updateBooking.test.ts","",""
