"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5351","Verify that error is shown when password is empty","","Fri Jan 23 14:25:07 UTC 2026","passed","Fri Jan 23 14:25:12 UTC 2026","","Login negative cases functionality","",""
"","4933","Verify that error is shown when both are empty","","Fri Jan 23 14:25:12 UTC 2026","passed","Fri Jan 23 14:25:17 UTC 2026","","Login negative cases functionality","",""
"","2299","Verify that products are sorted by price ascending","","Fri Jan 23 14:25:01 UTC 2026","passed","Fri Jan 23 14:25:03 UTC 2026","","Goods cases functionality","",""
"","1963","Verify that products are sorted by price descending","","Fri Jan 23 14:25:03 UTC 2026","passed","Fri Jan 23 14:25:05 UTC 2026","","Goods cases functionality","",""
"","4627","Verify that error is shown when password is invalid","","Fri Jan 23 14:25:22 UTC 2026","passed","Fri Jan 23 14:25:27 UTC 2026","","Login negative cases functionality","",""
"","5099","Verify that error is shown when username is invalid","","Fri Jan 23 14:25:17 UTC 2026","passed","Fri Jan 23 14:25:22 UTC 2026","","Login negative cases functionality","",""
"","2421","Verify that products are sorted by name descending","","Fri Jan 23 14:24:58 UTC 2026","passed","Fri Jan 23 14:25:01 UTC 2026","","Goods cases functionality","",""
"","2459","Verify that products are sorted by name ascending","","Fri Jan 23 14:24:56 UTC 2026","passed","Fri Jan 23 14:24:58 UTC 2026","","Goods cases functionality","",""
"","6590","Verify that error is shown when username is empty","","Fri Jan 23 14:25:00 UTC 2026","passed","Fri Jan 23 14:25:07 UTC 2026","","Login negative cases functionality","",""
"","10283","Verify that user can login with valid credentials","","Fri Jan 23 14:24:55 UTC 2026","passed","Fri Jan 23 14:25:06 UTC 2026","","Login functionality","",""
"","4740","Verify that error is shown when both credentials are invalid","","Fri Jan 23 14:25:27 UTC 2026","passed","Fri Jan 23 14:25:32 UTC 2026","","Login negative cases functionality","",""
"","6259","Verify that user can add and remove product from cart","","Fri Jan 23 14:25:02 UTC 2026","passed","Fri Jan 23 14:25:08 UTC 2026","","Cart functionality","",""
